## Experimento conduzido por Antonio Ariel Canedo Rivera
## (http://lattes.cnpq.br/2963994727678120), aluno de mestrado da UFLA
## (2009).
##
## Experimento sob tipos de armazenamentos de sementes de milho doce.
## Avaliou a influencia de diferentes doses de giberelina, na umidade de
## sementes de milho doce durante o armazenamento, de acordo com os
## tipos de embalagem e tamanhos de sementes durante o
## armazenamento. Sementes de dois tipos de peneira foram armazenadas
## com diferentes doses de giberelina em embalagens à vácuo e permeáveis
## sob temperaturas de 10C e 25C. Depois de armazenadas, as sementes
## foram avaliadas 0, 30, 60, 120 240 dias após o armazenamento e o
## número de sementes germinadas, de um total de 50 foram, foram
## registrados. Foram usadas 4 repetições.
##
## embalagem: tipo de embalagem para sementes, embaladas à vácuo ou em
##            embalagens permeáveis;
## peneira: tipo de peneira para separar sementes de milho, redonda ou
##          chata;
## temperat: temperatura de armazenamento, 10ºC e temperatura ambiente
##           na UBS do Laboratório de Análise de Sementes do DAG/UFLA;
## giberelina: tratamento com giberelina nas concentrações de 0, 10, e
##             20 mg/L;
## armaz: avaliações antes do armazenamento e após 30, 60, 120 e 240
##        dias;
## rept: unidade experimental;
## germinadas: número de sementes germinadas, de um total de 50, no
##             teste frio.
##
embalagem	peneira	temperat	giberelina	armaz	rept	germinadas
vacuo	redonda	10	20	60	2	34
vacuo	redonda	10	20	60	3	34
vacuo	redonda	10	20	60	4	36
vacuo	redonda	10	20	120	1	35
vacuo	redonda	10	20	120	2	40
vacuo	redonda	10	20	120	3	35
vacuo	redonda	10	20	120	4	34
vacuo	redonda	10	20	240	1	38
vacuo	redonda	10	20	240	2	40
vacuo	redonda	10	20	240	3	37
vacuo	redonda	10	20	240	4	38
vacuo	redonda	25	0	0	1	43
vacuo	redonda	25	0	0	2	44
vacuo	redonda	25	0	0	3	41
vacuo	redonda	25	0	0	4	34
vacuo	redonda	25	0	30	1	35
vacuo	redonda	25	0	30	2	34
vacuo	redonda	25	0	30	3	33
vacuo	redonda	25	0	30	4	34
vacuo	redonda	25	0	60	1	34
vacuo	redonda	25	0	60	2	26
vacuo	redonda	25	0	60	3	29
vacuo	redonda	25	0	60	4	37
vacuo	redonda	25	0	120	1	28
vacuo	redonda	25	0	120	2	26
vacuo	redonda	25	0	120	3	25
vacuo	redonda	25	0	120	4	27
vacuo	redonda	25	0	240	1	27
vacuo	redonda	25	0	240	2	26
vacuo	redonda	25	0	240	3	26
vacuo	redonda	25	0	240	4	28
vacuo	redonda	25	10	0	1	44
vacuo	redonda	25	10	0	2	41
vacuo	redonda	25	10	0	3	46
vacuo	redonda	25	10	0	4	41
vacuo	redonda	25	10	30	1	34
vacuo	redonda	25	10	30	2	36
vacuo	redonda	25	10	30	3	33
vacuo	redonda	25	10	30	4	33
vacuo	redonda	25	10	60	1	30
vacuo	redonda	25	10	60	2	30
vacuo	redonda	25	10	60	3	34
vacuo	redonda	25	10	60	4	41
vacuo	redonda	25	10	120	1	26
vacuo	redonda	25	10	120	2	24
vacuo	redonda	25	10	120	3	31
vacuo	redonda	25	10	120	4	19
vacuo	redonda	25	10	240	1	10
vacuo	redonda	25	10	240	2	12
vacuo	redonda	25	10	240	3	13
vacuo	redonda	25	10	240	4	15
vacuo	redonda	25	20	0	1	37
vacuo	redonda	25	20	0	2	40
vacuo	redonda	25	20	0	3	42
vacuo	redonda	25	20	0	4	33
vacuo	redonda	25	20	30	1	34
vacuo	redonda	25	20	30	2	34
vacuo	redonda	25	20	30	3	29
vacuo	redonda	25	20	30	4	33
vacuo	redonda	25	20	60	1	35
vacuo	redonda	25	20	60	2	31
vacuo	redonda	25	20	60	3	31
vacuo	redonda	25	20	60	4	29
vacuo	redonda	25	20	120	1	22
vacuo	redonda	25	20	120	2	31
vacuo	redonda	25	20	120	3	19
vacuo	redonda	25	20	120	4	20
vacuo	redonda	25	20	240	1	22
vacuo	redonda	25	20	240	2	14
vacuo	redonda	25	20	240	3	18
vacuo	redonda	25	20	240	4	22
