## Experimento conduzido por Antonio Ariel Canedo Rivera
## (http://lattes.cnpq.br/2963994727678120), aluno de mestrado da UFLA
## (2009).
##
## Experimento sob tipos de armazenamentos de sementes de milho doce.
## Avaliou a influencia de diferentes doses de giberelina, na velocidade
## de germinação de sementes de milho doce durante o armazenamento, de
## acordo com os tipos de embalagem e tamanhos de sementes durante o
## armazenamento. Sementes de dois tipos de peneira foram armazenadas
## com diferentes doses de giberelina em embalagens à vácuo e permeáveis
## sob temperaturas de 10C e 25C. Depois de armazenadas, as sementes
## foram avaliadas 0, 30, 60, 120 240 dias após o armazenamento e a
## germinação foi inspecioanda por meio da observação por 7 dias de 50
## sementes onde registrou-se o número se sementes germinadas acumuladas
## ao longo dos dias. Foram usadas 4 repetições.
##
## embalagem: tipo de embalagem para sementes, embaladas à vácuo ou em
##            embalagens permeáveis;
## peneira: tipo de peneira para separar sementes de milho, redonda ou
##          chata;
## temperat: temperatura de armazenamento, 10ºC e temperatura ambiente
##           na UBS do Laboratório de Análise de Sementes do DAG/UFLA;
## giberelina: tratamento com giberelina nas concentrações de 0, 10, e
##             20 mg/L;
## armaz: avaliações antes do armazenamento e após 30, 60, 120 e 240
##        dias;
## dia: dia de observação da germinação, de 1 à 7
## emergidas: número de sementes emergidas, de um total de 50, em cada
##            dia de observação da germinação;
## rept: unidade experimental que é avaliada ao longo dos 7 dias de
##       observação da emergência.
##
embalagem	peneira	temperat	giberelina	armaz	dia	rept	emergidas
permeavel	redonda	10	10	60	1	4	0
permeavel	redonda	10	10	60	2	4	0
permeavel	redonda	10	10	60	3	4	1
permeavel	redonda	10	10	60	4	4	36
permeavel	redonda	10	10	60	5	4	42
permeavel	redonda	10	10	60	6	4	44
permeavel	redonda	10	10	60	7	4	45
permeavel	redonda	10	10	120	1	4	0
permeavel	redonda	10	10	120	2	4	0
permeavel	redonda	10	10	120	3	4	0
permeavel	redonda	10	10	120	4	4	36
permeavel	redonda	10	10	120	5	4	39
permeavel	redonda	10	10	120	6	4	40
permeavel	redonda	10	10	120	7	4	42
permeavel	redonda	10	10	240	1	4	0
permeavel	redonda	10	10	240	2	4	0
permeavel	redonda	10	10	240	3	4	0
permeavel	redonda	10	10	240	4	4	0
permeavel	redonda	10	10	240	5	4	7
permeavel	redonda	10	10	240	6	4	31
permeavel	redonda	10	10	240	7	4	38
permeavel	redonda	10	20	0	1	4	7
permeavel	redonda	10	20	0	2	4	29
permeavel	redonda	10	20	0	3	4	34
permeavel	redonda	10	20	0	4	4	34
permeavel	redonda	10	20	0	5	4	34
permeavel	redonda	10	20	0	6	4	34
permeavel	redonda	10	20	0	7	4	34
permeavel	redonda	10	20	30	1	4	0
permeavel	redonda	10	20	30	2	4	0
permeavel	redonda	10	20	30	3	4	1
permeavel	redonda	10	20	30	4	4	34
permeavel	redonda	10	20	30	5	4	42
permeavel	redonda	10	20	30	6	4	42
permeavel	redonda	10	20	30	7	4	43
permeavel	redonda	10	20	60	1	4	0
permeavel	redonda	10	20	60	2	4	0
permeavel	redonda	10	20	60	3	4	0
permeavel	redonda	10	20	60	4	4	43
permeavel	redonda	10	20	60	5	4	45
permeavel	redonda	10	20	60	6	4	46
permeavel	redonda	10	20	60	7	4	46
permeavel	redonda	10	20	120	1	4	0
permeavel	redonda	10	20	120	2	4	0
permeavel	redonda	10	20	120	3	4	5
permeavel	redonda	10	20	120	4	4	38
permeavel	redonda	10	20	120	5	4	42
permeavel	redonda	10	20	120	6	4	43
permeavel	redonda	10	20	120	7	4	43
permeavel	redonda	10	20	240	1	4	0
permeavel	redonda	10	20	240	2	4	0
permeavel	redonda	10	20	240	3	4	0
permeavel	redonda	10	20	240	4	4	0
permeavel	redonda	10	20	240	5	4	0
permeavel	redonda	10	20	240	6	4	10
permeavel	redonda	10	20	240	7	4	38
permeavel	redonda	25	0	0	1	4	2
permeavel	redonda	25	0	0	2	4	27
permeavel	redonda	25	0	0	3	4	31
permeavel	redonda	25	0	0	4	4	31
permeavel	redonda	25	0	0	5	4	34
permeavel	redonda	25	0	0	6	4	34
permeavel	redonda	25	0	0	7	4	34
permeavel	redonda	25	0	30	1	4	0
permeavel	redonda	25	0	30	2	4	0
permeavel	redonda	25	0	30	3	4	4
permeavel	redonda	25	0	30	4	4	33
permeavel	redonda	25	0	30	5	4	43
permeavel	redonda	25	0	30	6	4	45
permeavel	redonda	25	0	30	7	4	45
permeavel	redonda	25	0	60	1	4	0
permeavel	redonda	25	0	60	2	4	0
permeavel	redonda	25	0	60	3	4	0
permeavel	redonda	25	0	60	4	4	29
permeavel	redonda	25	0	60	5	4	40
permeavel	redonda	25	0	60	6	4	42
permeavel	redonda	25	0	60	7	4	43
permeavel	redonda	25	0	120	1	4	0
permeavel	redonda	25	0	120	2	4	0
permeavel	redonda	25	0	120	3	4	0
permeavel	redonda	25	0	120	4	4	30
permeavel	redonda	25	0	120	5	4	32
permeavel	redonda	25	0	120	6	4	32
permeavel	redonda	25	0	120	7	4	33
permeavel	redonda	25	0	240	1	4	0
permeavel	redonda	25	0	240	2	4	0
permeavel	redonda	25	0	240	3	4	0
permeavel	redonda	25	0	240	4	4	0
permeavel	redonda	25	0	240	5	4	0
permeavel	redonda	25	0	240	6	4	15
permeavel	redonda	25	0	240	7	4	23
permeavel	redonda	25	10	0	1	4	7
permeavel	redonda	25	10	0	2	4	27
permeavel	redonda	25	10	0	3	4	33
permeavel	redonda	25	10	0	4	4	33
permeavel	redonda	25	10	0	5	4	34
permeavel	redonda	25	10	0	6	4	34
permeavel	redonda	25	10	0	7	4	34
permeavel	redonda	25	10	30	1	4	0
permeavel	redonda	25	10	30	2	4	0
permeavel	redonda	25	10	30	3	4	1
permeavel	redonda	25	10	30	4	4	37
permeavel	redonda	25	10	30	5	4	40
permeavel	redonda	25	10	30	6	4	42
permeavel	redonda	25	10	30	7	4	42
permeavel	redonda	25	10	60	1	4	0
permeavel	redonda	25	10	60	2	4	0
permeavel	redonda	25	10	60	3	4	5
permeavel	redonda	25	10	60	4	4	36
permeavel	redonda	25	10	60	5	4	42
permeavel	redonda	25	10	60	6	4	42
permeavel	redonda	25	10	60	7	4	42
permeavel	redonda	25	10	120	1	4	0
permeavel	redonda	25	10	120	2	4	0
permeavel	redonda	25	10	120	3	4	0
permeavel	redonda	25	10	120	4	4	31
permeavel	redonda	25	10	120	5	4	33
permeavel	redonda	25	10	120	6	4	34
permeavel	redonda	25	10	120	7	4	34
permeavel	redonda	25	10	240	1	4	0
permeavel	redonda	25	10	240	2	4	0
permeavel	redonda	25	10	240	3	4	0
permeavel	redonda	25	10	240	4	4	0
permeavel	redonda	25	10	240	5	4	1
permeavel	redonda	25	10	240	6	4	15
permeavel	redonda	25	10	240	7	4	21
permeavel	redonda	25	20	0	1	4	7
permeavel	redonda	25	20	0	2	4	29
permeavel	redonda	25	20	0	3	4	34
permeavel	redonda	25	20	0	4	4	34
permeavel	redonda	25	20	0	5	4	34
permeavel	redonda	25	20	0	6	4	34
permeavel	redonda	25	20	0	7	4	34
permeavel	redonda	25	20	30	1	4	0
permeavel	redonda	25	20	30	2	4	0
permeavel	redonda	25	20	30	3	4	0
permeavel	redonda	25	20	30	4	4	31
permeavel	redonda	25	20	30	5	4	38
permeavel	redonda	25	20	30	6	4	39
permeavel	redonda	25	20	30	7	4	41
permeavel	redonda	25	20	60	1	4	0
permeavel	redonda	25	20	60	2	4	0
permeavel	redonda	25	20	60	3	4	2
permeavel	redonda	25	20	60	4	4	36
permeavel	redonda	25	20	60	5	4	38
permeavel	redonda	25	20	60	6	4	42
permeavel	redonda	25	20	60	7	4	42
permeavel	redonda	25	20	120	1	4	0
permeavel	redonda	25	20	120	2	4	0
permeavel	redonda	25	20	120	3	4	0
permeavel	redonda	25	20	120	4	4	24
permeavel	redonda	25	20	120	5	4	33
permeavel	redonda	25	20	120	6	4	33
permeavel	redonda	25	20	120	7	4	35
permeavel	redonda	25	20	240	1	4	0
permeavel	redonda	25	20	240	2	4	0
permeavel	redonda	25	20	240	3	4	0
permeavel	redonda	25	20	240	4	4	0
permeavel	redonda	25	20	240	5	4	0
permeavel	redonda	25	20	240	6	4	10
permeavel	redonda	25	20	240	7	4	20
